k,WCSS,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,n_iter,WCSS_reduction_pct
2,3272856.6151197376,0.39373247640770803,1.0707441822385655,7880.81390365711,0.3296106738894193,0.5454638590374131,5,
3,2921077.5985826757,0.3154837527273416,1.7865164653652823,5034.4752572242005,0.3316978011500208,0.5182506830146147,12,10.748378493330115
4,2781602.1398099414,0.15000454919115871,2.342157905200283,3696.3387178365883,0.29900986253719025,0.4693542553561226,17,4.77479471412908
5,2654789.7873104136,0.12863053347959422,2.410824035874626,3027.324361903155,0.2911652099923616,0.4606653455231147,20,4.558968038045605
6,2577180.428814919,0.10989543392895214,2.383566871713263,2556.5419483149535,0.41962042580459846,0.559326399920236,36,2.9233711409640817
7,2519774.2169236024,0.08159876210476713,2.675157661050439,2217.8556926660026,0.43324769868226204,0.5545760759605542,19,2.2274812911610637
8,2465378.9596691453,0.07486730343434732,2.6105630637569073,1975.2106862683784,0.4266473275168787,0.5516097476865897,33,2.1587353695867395
