linkage,K,clusters,smallest_cluster,largest_cluster,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,cophenetic_corr
single,2,2,2,10297,0.7923627913233814,0.275009976938263,80.38027211083585,3.017274877520425e-05,0.0004328387901998363,0.8138538444182594
complete,2,2,16,10283,0.66395359633961,0.7603097175822676,210.0761721418143,0.00023463940216640432,0.0030241109956863576,0.7522866768072739
average,2,2,3,10296,0.7687270815107101,0.5197106724868688,89.84246498238448,4.5379326949526745e-05,0.0006490646915602091,0.8556935261977282
ward,2,2,4672,5627,0.3933741299976165,1.0716937645892068,7859.755364486751,0.33253220715485143,0.5567893374606173,0.6767338302954943
single,6,6,1,10293,0.5601154584441919,0.27333740052820704,28.855435858673818,9.095182796422855e-05,0.0012964342375638913,0.8138538444182594
complete,6,6,2,5626,0.37916215274424986,1.3004328736271904,1898.4099839281203,0.32937340488102307,0.5421361484096985,0.7522866768072739
average,6,6,1,10141,0.44309293143089196,1.1019529991833201,161.10369996732948,0.0024078862538124456,0.022041210057924164,0.8556935261977282
ward,6,6,151,3208,0.1170292796580654,2.4820388305595458,2349.667698337932,0.459874890109388,0.6014981965896592,0.6767338302954943
