Model,Algorithm,Parameters,Clusters,Noise,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,ARI_core,NMI_core
K-Means (k=2),K-Means,"k=2, n_init=10, random_state=42",2,0,0.39373247640770803,1.0707441822385655,7880.81390365711,0.3296106738894193,0.5454638590374131,0.3296106738894193,0.5454638590374131
K-Means (k=6),K-Means,"k=6, n_init=10, random_state=42",6,0,0.10989543392895214,2.383566871713263,2556.5419483149535,0.41962042580459846,0.559326399920236,0.41962042580459846,0.559326399920236
"DBSCAN (eps=14, min_samples=50)",DBSCAN,"eps=14, min_samples=50",2,4126,0.4077148929472201,1.0572465258820773,3343.3704897449957,0.25740412234791693,0.40510481279922333,0.23765268135529188,0.47719799942088054
HAC-Ward (K=2),Hierarchical (Ward),"linkage=ward, n_clusters=2",2,0,0.3933741299976165,1.0716937645892068,7859.755364486751,0.33253220715485143,0.5567893374606173,0.33253220715485143,0.5567893374606173
HAC-Ward (K=6),Hierarchical (Ward),"linkage=ward, n_clusters=6",6,0,0.1170292796580654,2.4820388305595458,2349.667698337932,0.459874890109388,0.6014981965896592,0.459874890109388,0.6014981965896592
