index,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
C0,0,0,0,22,6,1806
C1,0,0,0,1226,1282,79
C2,0,0,0,529,618,59
C3,1339,1332,537,0,0,0
C4,28,0,123,0,0,0
C5,355,212,746,0,0,0
