k,WCSS,Silhouette
2,3272856.6151197376,0.39373247640770803
3,2921077.5985826757,0.3154837527273416
4,2781602.1398099414,0.15000454919115871
5,2654789.7873104136,0.12863053347959422
6,2577180.428814919,0.10989543392895214
7,2519774.2169236024,0.08159876210476713
8,2465378.9596691453,0.07486730343434732
