min_samples,p5,p25,p50,p75,p90,p95,p99
5,9.18237185254464,10.505445347230452,12.320837968033436,15.129156897883403,18.245282590910673,20.976965213105338,28.75093546137559
10,9.659822519230929,11.051980710632005,13.0735486926356,16.030538507239203,19.28844025601217,22.13228222087403,30.801891356985532
20,10.04889625381279,11.544624402652703,13.779351603805416,16.941138386118247,20.368421042516903,23.323969140997544,33.165864967528236
50,10.53239243776703,12.189270362780743,14.789506864969518,18.061748889911033,21.87985224437318,25.114368914296428,35.92963713010316
